No,判定,締切,残日数,補助金_公募名,対象地域,従業員条件,上限額円,判定理由,理由区分,JグランツID,URL
1,△,2026-09-04 12:00,0.2,「バーチャルエコノミーにおける社会実装に向けた戦略検討、グローバルベンチマーク調査及び提供財の社会実装への取組提言」の公募,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdu5MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdu5MAD
2,△,2026-09-04 15:00,0.3,令和８年度「蓄電池等の製品の持続可能性向上に向けた基盤整備・実証事業」,全国,従業員数の制約なし,720000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDctfMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDctfMAD
3,×,2026-09-04 17:00,0.4,2026年度「海外出願支援事業」（2次募集）,北海道,300名以下,3000000,対象地域が北海道で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYh2MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYh2MAH
4,×,2026-09-04 17:00,0.4,【岡山県】令和8年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）（第２回公募）,岡山県,300名以下,3000000,対象地域が岡山県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDeUWMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeUWMA1
5,○,2026-09-07 12:00,3.2,2026年度第2回「新エネルギー等のシーズ発掘・事業化に向けた技術研究開発事業」（新エネ中小・スタートアップ支援制度）の公募,全国,従業員数の制約なし,0,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDd5cMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd5cMAD
6,△,2026-09-07 12:00,3.2,2026年度第2回「新エネルギー等のシーズ発掘・事業化に向けた技術研究開発事業」（未来型新エネ実証制度）の公募,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdA1MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdA1MAL
7,△,2026-09-07 12:00,3.2,「競争的な水素サプライチェーン構築に向けた技術開発事業／総合調査研究／水素キャリアに係る船陸インターフェースの国際標準化に向けた基礎調査」の公募,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeA1MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeA1MAL
8,△,2026-09-07 15:00,3.3,令和８年度 エネルギー使用合理化設備導入促進対策費補助金（資源自律経済確立産官学連携加速化事業）【二次公募】,全国,従業員数の制約なし,40000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdNKMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdNKMA1
9,○,2026-09-08 12:00,4.2,GX分野のディープテック・スタートアップに対する 実用化研究開発・量産化実証支援事業第7回公募,全国,従業員数の制約なし,0,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDaMaMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaMaMAL
10,○,2026-09-08 12:00,4.2,ディープテック・スタートアップ支援基金／ディープテック・スタートアップ支援事業第10回公募,全国,従業員数の制約なし,0,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDaMfMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaMfMAL
11,△,2026-09-08 17:00,4.4,令和８年度ゼロエミッション推進に向けた事業転換支援事業（製品開発助成）,東京都,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYUNMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUNMA5
12,△,2026-09-08 17:00,4.4,令和８年度国際ルール形成・市場創造型標準化推進事業費補助金（２次公募）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdKuMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdKuMAL
13,×,2026-09-09 12:00,5.2,令和８年度酒類業振興支援事業費補助金（第４期）,北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 新潟県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県 / 沖縄県 / 千葉県 / 東京都 / 神奈川県 / 山梨県 / 富山県 / 石川県 / 福井県,従業員数の制約なし,15000000,酒類事業者向け,対象者,a0WJ200000CDdQxMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdQxMAL
14,△,2026-09-09 17:00,5.4,令和８年度運輸部門におけるエネルギーの使用合理化・非化石エネルギー転換推進事業費補助金（内航船革新的運航効率化・非化石エネルギー転換推進事業）（三次公募）,全国,従業員数の制約なし,500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe7xMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe7xMAD
15,△,2026-09-09 23:59,5.7,令和8年度 高度人材インターンシップ受入支援費補助金,東京都,300名以下,5000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDZi6MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZi6MAH
